"신규진입
키워드",키워드,카테고리,"브랜드
키워드","쇼핑성
키워드",경쟁률,"최근
1개월
검색량","예상
1개월
검색량","예상1개월
검색량
상승률","최근
3개월
검색량","예상
3개월
검색량","예상3개월
검색량
상승률","작년
검색량","작년
최대검색
월","작년최대
검색월
검색량",계절성,"계절성
월","네이버
상품수","네이버
해외
상품수","네이버
평균가","네이버
경쟁강도","네이버
일반배송비율","네이버
해외배송비율","네이버
묶음상품비율","쿠팡
평균가","쿠팡
총리뷰수","쿠팡
최대리뷰수","쿠팡
평균리뷰수","쿠팡
로켓배송비율","쿠팡
판매자로켓
배송비율","쿠팡
일반배송비율","쿠팡
해외배송비율","쿠팡
해외배송
총리뷰수","쿠팡
해외배송
최대리뷰수","쿠팡
해외배송
평균리뷰수"
X,삼성ai콤보,디지털/가전>생활가전,O,O,0.40,7700,9792,27.17%,22269,22363,0.42%,103297,3,17294,있음,"3,4,5,7,8,11",3043,3,2272456,높음,100.00%,0.00%,12.50%,2412936,3302,2031,91,30.56%,0.00%,69.44%,0.00%,0,0,0
X,ta25gz9,디지털/가전>생활가전,X,O,0.40,1320,0,,4509,0,,0,,0,없음,없음,522,0,1019801,높음,85.00%,15.00%,2.50%,594853,12779,2388,354,16.67%,2.78%,75.00%,5.56%,292,292,146
O,dv21dg8600bv,디지털/가전>생활가전,X,O,0.40,1190,0,,2994,0,,0,,0,없음,없음,471,0,497441,높음,100.00%,0.00%,2.50%,1320100,7977,5834,295,29.63%,0.00%,70.37%,0.00%,0,0,0
X,세탁기건조기일체형,디지털/가전>생활가전,X,O,0.41,21580,22180,2.78%,67760,55750,-17.72%,350197,3,51732,없음,없음,8927,4465,2258482,높음,100.00%,0.00%,7.50%,1337858,18073,6452,669,51.85%,0.00%,29.63%,18.52%,0,0,0
O,ai콤보세탁기,디지털/가전>생활가전,X,O,0.41,6610,15245,130.64%,11476,15990,39.33%,2536,4,388,없음,없음,2734,2,2315983,높음,100.00%,0.00%,12.50%,2957181,1238,330,45,37.04%,0.00%,59.26%,3.70%,141,141,141
X,t21mx9a,디지털/가전>생활가전,X,O,0.42,1420,1849,30.21%,4430,5111,15.37%,17799,11,2129,없음,없음,590,0,873545,높음,95.00%,5.00%,2.50%,653241,18923,2388,540,28.57%,2.86%,68.57%,0.00%,0,0,0
O,연수기렌탈,디지털/가전>생활가전,X,O,0.44,1230,1129,-8.21%,3383,7032,107.86%,20420,12,4198,있음,"9,10,11,12",539,0,26650,높음,97.50%,2.50%,2.50%,101927,27590,12930,766,19.44%,8.33%,27.78%,44.44%,6,5,0
O,wf25dg8650bw,디지털/가전>생활가전,X,O,0.46,1210,0,,3444,0,,0,,0,없음,없음,562,0,519417,높음,100.00%,0.00%,2.50%,1336580,13735,6457,392,37.14%,0.00%,62.86%,0.00%,0,0,0
X,울트라트랩,디지털/가전>생활가전,O,O,0.46,1070,1016,-5.05%,3770,1051,-72.12%,30151,6,8768,있음,"5,6,7",489,282,49425,높음,97.50%,2.50%,5.00%,33108,18591,12710,688,22.22%,3.70%,51.85%,22.22%,0,0,0
X,f17ctp,디지털/가전>생활가전,X,O,0.47,1130,0,,3217,0,,0,,0,없음,없음,527,0,853930,높음,100.00%,0.00%,2.50%,621599,31284,6449,869,19.44%,8.33%,58.33%,13.89%,206,65,41
X,필립스스팀다리미,디지털/가전>생활가전,O,O,0.48,15850,17079,7.75%,38904,32857,-15.54%,171695,5,20244,없음,없음,7644,1795,123881,높음,100.00%,0.00%,52.50%,119238,36452,7520,1350,81.48%,3.70%,3.70%,11.11%,0,0,0
X,게이트맨,디지털/가전>생활가전,O,O,0.49,14490,12588,-13.13%,48317,33926,-29.78%,191183,7,20811,없음,없음,7118,275,208126,높음,100.00%,0.00%,50.00%,160283,6865,2525,254,70.37%,0.00%,14.81%,14.81%,0,0,0
X,t21ez9,디지털/가전>생활가전,X,O,0.50,920,0,,2169,0,,0,,0,없음,없음,462,0,1072877,높음,97.50%,2.50%,2.50%,657259,33181,7710,921,47.22%,8.33%,41.67%,2.78%,212,212,212
O,f24vdsp,디지털/가전>생활가전,X,O,0.50,1000,770,-23.00%,3540,2598,-26.61%,11228,1,1824,없음,없음,496,0,2183474,높음,100.00%,0.00%,2.50%,1429640,11785,1483,336,22.86%,0.00%,71.43%,5.71%,1800,1483,900
X,f9wtbq,디지털/가전>생활가전,X,O,0.50,930,1193,28.28%,3408,5954,74.71%,4527,10,1228,있음,"9,10,11,12",462,0,466406,높음,100.00%,0.00%,2.50%,536646,4443,524,130,2.94%,0.00%,97.06%,0.00%,0,0,0
X,t21mx9b,디지털/가전>생활가전,X,O,0.51,790,1017,28.73%,2300,1860,-19.13%,13612,2,1880,없음,없음,401,0,728054,높음,97.50%,2.50%,2.50%,1018373,18264,7711,589,25.81%,0.00%,67.74%,6.45%,212,212,106
X,f17htp,디지털/가전>생활가전,,X,0.52,940,0,,3338,0,,0,,0,없음,없음,486,0,1010220,높음,100.00%,0.00%,2.50%,546250,28522,7710,792,38.89%,13.89%,44.44%,2.78%,191,191,191
X,sc5mbr80a,디지털/가전>생활가전,X,O,0.53,1410,0,,3861,0,,,,,,,748,0,1273664,높음,100.00%,0.00%,2.50%,1537411,686,244,19,16.67%,0.00%,69.44%,13.89%,7,3,1
X,lg세탁기건조기일체형,디지털/가전>생활가전,X,O,0.53,2200,1861,-15.41%,6986,3663,-47.57%,145778,3,31979,있음,"2,3",1176,220,2030643,높음,100.00%,0.00%,5.00%,1849121,9004,1486,310,48.28%,0.00%,37.93%,13.79%,0,0,0
X,밀레도어락,디지털/가전>생활가전,O,O,0.54,4920,4617,-6.16%,15461,13170,-14.82%,47726,8,5234,없음,없음,2659,12,59746,높음,100.00%,0.00%,17.50%,87380,8146,2952,301,85.19%,0.00%,14.81%,0.00%,0,0,0
O,아이프리보풀제거기,디지털/가전>생활가전,O,O,0.55,1200,4927,310.58%,2219,16540,645.38%,36670,11,6852,있음,"1,2,3,10,11,12",664,30,36953,높음,97.50%,2.50%,45.00%,37700,110007,34258,4074,40.74%,18.52%,25.93%,14.81%,0,0,0
X,코맥스도어락,디지털/가전>생활가전,O,O,0.58,5690,5398,-5.13%,21138,17862,-15.50%,106078,7,10952,없음,없음,3282,32,103221,높음,100.00%,0.00%,25.00%,117422,6550,2525,242,55.56%,7.41%,33.33%,3.70%,0,0,0
X,t17dx3a,디지털/가전>생활가전,X,O,0.61,1980,1768,-10.71%,7632,5358,-29.80%,28415,7,2978,없음,없음,1204,0,161167,높음,97.50%,2.50%,5.00%,473609,13748,7696,491,14.29%,0.00%,82.14%,3.57%,449,449,449
O,sc5mbr60b,디지털/가전>생활가전,O,O,0.63,1100,0,,3277,0,,0,,0,없음,없음,692,0,1073342,중간,100.00%,0.00%,2.50%,953737,613,244,17,13.89%,2.78%,52.78%,30.56%,14,7,1
X,진공스팀다리미,디지털/가전>생활가전,X,O,0.65,2670,0,,4648,0,,0,,0,없음,없음,1741,890,219727,중간,75.00%,25.00%,0.00%,119285,47405,43280,1755,22.22%,11.11%,14.81%,51.85%,2,1,0
O,진공흡착스팀다리미,디지털/가전>생활가전,,X,0.65,700,0,,932,0,,0,,0,없음,없음,454,274,219534,높음,47.50%,52.50%,0.00%,121126,58891,43304,2181,18.52%,18.52%,7.41%,55.56%,3,1,0
X,t19mx8,디지털/가전>생활가전,X,X,0.66,2060,1994,-3.20%,7099,8017,12.93%,25076,12,2401,없음,없음,1363,0,611308,높음,97.50%,2.50%,5.00%,702795,16460,2392,609,33.33%,3.70%,55.56%,7.41%,0,0,0
X,rd21ese,디지털/가전>생활가전,X,O,0.66,1720,2763,60.64%,5039,15375,205.12%,13709,1,3024,있음,"1,11,12",1131,0,1394785,높음,100.00%,0.00%,5.00%,1091312,7828,2163,244,31.25%,0.00%,65.63%,3.13%,191,191,191
O,f24wdlp,디지털/가전>생활가전,X,O,0.67,740,357,-51.76%,2902,2549,-12.16%,9253,9,1139,없음,없음,499,0,1501267,높음,92.50%,7.50%,5.00%,1179749,13854,6457,384,33.33%,0.00%,58.33%,8.33%,191,191,64
O,dv90t5540bv,디지털/가전>생활가전,X,O,0.69,1020,1223,19.90%,2946,2845,-3.43%,13462,7,1724,없음,없음,704,0,287940,높음,87.50%,12.50%,2.50%,783200,12158,5834,450,25.93%,0.00%,74.07%,0.00%,0,0,0
O,lg올인원세탁기,디지털/가전>생활가전,X,O,0.71,1340,1634,21.94%,4260,5959,39.88%,22929,3,5828,있음,3,956,86,2832942,높음,97.50%,2.50%,5.00%,1931228,5015,1487,185,25.93%,0.00%,48.15%,25.93%,14,14,2
O,rh10wtw,디지털/가전>생활가전,X,O,0.71,890,847,-4.83%,2761,2400,-13.07%,7237,9,1255,있음,"4,8,9,10,11",632,0,421465,높음,97.50%,2.50%,5.00%,767669,10389,5836,371,25.00%,0.00%,75.00%,0.00%,0,0,0
X,세탁건조기일체형,디지털/가전>생활가전,X,O,0.73,9980,11127,11.49%,29323,26655,-9.10%,197986,3,54312,있음,3,7294,3825,1969106,높음,97.50%,2.50%,2.50%,1395216,11815,2037,437,48.15%,0.00%,33.33%,18.52%,0,0,0
X,파나소닉구강세정기,디지털/가전>생활가전,O,O,0.74,4810,3582,-25.53%,14085,8374,-40.55%,65823,1,8109,없음,없음,3578,1182,84239,높음,92.50%,7.50%,30.00%,83495,24356,17207,902,44.44%,18.52%,33.33%,3.70%,14,14,14
X,tr10wl,디지털/가전>생활가전,X,O,0.74,1240,1545,24.60%,4149,4005,-3.47%,23810,1,2562,없음,없음,923,1,242761,높음,92.50%,7.50%,2.50%,493275,75670,5408,2364,18.75%,0.00%,71.88%,9.38%,0,0,0
X,fx25esr,디지털/가전>생활가전,O,O,0.75,1210,1524,25.95%,5311,4886,-8.00%,13797,5,2014,없음,없음,910,0,1755679,중간,100.00%,0.00%,5.00%,1407058,14206,6023,405,42.86%,0.00%,48.57%,8.57%,403,212,134
O,t19mx7a,디지털/가전>생활가전,X,O,0.75,690,641,-7.10%,2373,905,-61.86%,19464,3,2780,없음,없음,516,0,655042,중간,97.50%,2.50%,2.50%,890876,20384,2388,679,20.00%,3.33%,76.67%,0.00%,0,0,0
O,fh25ga,디지털/가전>생활가전,X,O,0.76,660,734,11.21%,1345,1204,-10.48%,6925,4,1044,없음,없음,500,0,3662099,높음,100.00%,0.00%,7.50%,3072156,2870,1486,89,18.75%,0.00%,75.00%,6.25%,332,191,166
X,삼성올인원세탁기,디지털/가전>생활가전,O,O,0.79,4280,5143,20.16%,12312,14998,21.82%,44265,3,8938,있음,"3,4",3389,7,2616811,높음,100.00%,0.00%,25.00%,2787521,9263,4026,330,42.86%,0.00%,57.14%,0.00%,0,0,0
X,t18wx7,디지털/가전>생활가전,X,O,0.83,870,885,1.72%,2236,1876,-16.10%,7042,8,843,없음,없음,723,0,593280,중간,97.50%,2.50%,2.50%,763782,26201,7706,748,25.71%,2.86%,71.43%,0.00%,0,0,0
O,엘지올인원세탁기,디지털/가전>생활가전,X,O,0.83,1160,1405,21.12%,3466,3436,-0.87%,20285,3,4558,있음,"3,4",959,85,2908469,높음,100.00%,0.00%,5.00%,2069661,5594,1489,207,25.93%,0.00%,44.44%,29.63%,157,143,20
X,테팔스팀다리미,디지털/가전>생활가전,O,O,0.84,6630,5916,-10.77%,19814,15036,-24.11%,128930,5,17637,없음,없음,5595,1265,90282,높음,97.50%,2.50%,60.00%,90759,14391,3889,533,66.67%,7.41%,22.22%,3.70%,0,0,0
X,s3bof,디지털/가전>생활가전,X,O,0.84,1360,1556,14.41%,3672,2867,-21.92%,26994,7,3467,없음,없음,1149,2,223521,높음,100.00%,0.00%,5.00%,545281,594,244,19,12.90%,3.23%,80.65%,3.23%,0,0,0
X,들개퇴치기,디지털/가전>생활가전,X,X,0.85,3600,8028,123.00%,4390,4829,10.00%,1260,2,560,있음,2,3057,1786,36760,높음,77.50%,22.50%,0.00%,57568,588,137,21,3.70%,22.22%,51.85%,22.22%,25,23,4
X,코콤무타공도어락,디지털/가전>생활가전,O,O,0.90,660,0,,1113,0,,235,12,210,있음,12,594,10,97274,높음,100.00%,0.00%,7.50%,111637,7149,6871,264,40.74%,14.81%,44.44%,0.00%,0,0,0
X,fg21en,디지털/가전>생활가전,X,O,0.90,780,852,9.23%,3575,3441,-3.75%,4936,1,672,없음,없음,701,0,1407577,높음,100.00%,0.00%,5.00%,2156201,4606,1483,131,62.86%,0.00%,17.14%,20.00%,285,191,41
X,lg통돌이세탁기15kg,디지털/가전>생활가전,O,O,0.92,1360,863,-36.54%,3708,2358,-36.41%,15389,7,1693,없음,없음,1257,196,620873,높음,100.00%,0.00%,15.00%,525280,18390,7710,681,14.81%,0.00%,74.07%,11.11%,0,0,0
X,x400무전기,디지털/가전>생활가전,X,O,0.93,490,0,,1818,0,,80,12,80,있음,12,456,17,386657,높음,100.00%,0.00%,5.00%,153941,60,14,2,0.00%,3.70%,77.78%,18.52%,0,0,0
X,f12wva,디지털/가전>생활가전,X,O,0.95,1350,1653,22.44%,4178,4494,7.56%,12413,3,1238,없음,없음,1289,0,282541,높음,97.50%,2.50%,5.00%,793318,7326,1899,215,17.65%,0.00%,82.35%,0.00%,0,0,0
O,비스포크ai원바디,디지털/가전>생활가전,O,X,0.98,800,718,-10.25%,3538,3257,-7.94%,222,9,40,있음,"4,6,8,9,11",782,0,3365617,높음,97.50%,2.50%,0.00%,2352496,5261,2038,146,36.11%,0.00%,63.89%,0.00%,0,0,0
O,ai콤보,디지털/가전>생활가전,X,O,0.98,3180,4929,55.00%,7789,7994,2.63%,51197,3,8755,있음,"3,4,5,7,11",3111,46,2976722,높음,100.00%,0.00%,12.50%,2615925,1251,330,34,22.22%,0.00%,72.22%,5.56%,141,141,71
O,삼성세탁기콤보,디지털/가전>생활가전,O,O,0.99,3310,4070,22.96%,9343,10085,7.94%,16556,3,2839,있음,"3,4,5,6,10,11",3281,13,2338042,중간,100.00%,0.00%,12.50%,2810249,9731,4026,304,50.00%,0.00%,46.88%,3.13%,0,0,0
X,워시타워,디지털/가전>생활가전,O,O,1.01,25610,27012,5.47%,84992,70991,-16.47%,456791,1,46527,없음,없음,25928,524,2576071,높음,100.00%,0.00%,65.00%,2338507,9920,2033,367,74.07%,0.00%,22.22%,3.70%,1,1,1
X,rd22gs,디지털/가전>생활가전,X,O,1.01,990,2384,140.81%,2957,4458,50.76%,9802,7,1241,없음,없음,1001,0,1532825,중간,100.00%,0.00%,2.50%,1377387,5680,2160,210,22.22%,0.00%,77.78%,0.00%,0,0,0
X,rg19vns,디지털/가전>생활가전,X,O,1.01,940,762,-18.94%,3829,2368,-38.16%,21804,1,3903,있음,"1,2,3,4,5",946,0,322712,높음,95.00%,5.00%,5.00%,926739,5983,2183,170,0.00%,31.43%,65.71%,2.86%,1,1,1
X,유니코도어락,디지털/가전>생활가전,O,O,1.04,2860,2626,-8.18%,8606,7146,-16.96%,33051,7,3659,없음,없음,2978,15,90682,높음,100.00%,0.00%,15.00%,96031,9034,4034,334,40.74%,3.70%,55.56%,0.00%,0,0,0
X,필립스구강세정기,디지털/가전>생활가전,O,O,1.04,2350,2162,-8.00%,8391,7212,-14.05%,35951,1,3678,없음,없음,2454,1408,115734,높음,92.50%,7.50%,20.00%,92248,53061,17208,1965,44.44%,11.11%,33.33%,11.11%,11,11,4
X,스팀다리미10초살균,디지털/가전>생활가전,,X,1.09,80,0,,204,0,,0,,0,없음,없음,87,19,64629,높음,60.00%,40.00%,12.50%,62415,80650,44142,2987,48.15%,11.11%,22.22%,18.52%,0,0,0
O,샤오미모니터조명,디지털/가전>생활가전,O,O,1.10,1040,1253,20.48%,2986,3477,16.44%,19255,2,2420,없음,없음,1144,797,58742,중간,42.50%,57.50%,2.50%,60737,3429,1636,127,18.52%,11.11%,18.52%,51.85%,608,506,43
X,다리미건조기,디지털/가전>생활가전,,X,1.11,5920,0,,5947,0,,0,,0,없음,없음,6571,4341,255821,중간,50.00%,50.00%,0.00%,117551,46189,44145,1443,18.75%,12.50%,9.38%,59.38%,51,10,3
X,t17dx3,디지털/가전>생활가전,X,O,1.13,1570,1614,2.80%,4384,2878,-34.35%,18977,2,2098,없음,없음,1771,0,534718,높음,100.00%,0.00%,5.00%,619687,13373,7696,495,14.81%,0.00%,81.48%,3.70%,449,449,449
O,삼성콤보세탁기,디지털/가전>생활가전,O,O,1.17,2790,3220,15.41%,8491,8330,-1.90%,47390,3,6925,없음,없음,3278,13,2374695,높음,100.00%,0.00%,12.50%,2983617,3275,2033,121,33.33%,0.00%,62.96%,3.70%,0,0,0
O,코웨이연수기렌탈,디지털/가전>생활가전,O,O,1.19,290,144,-50.34%,692,23,-96.68%,6057,4,2093,있음,"4,7,8",344,0,30575,높음,100.00%,0.00%,0.00%,27649,6700,1805,191,2.86%,5.71%,88.57%,2.86%,0,0,0
O,rd22ese,디지털/가전>생활가전,X,O,1.19,840,1009,20.12%,3123,3355,7.43%,17118,7,2046,없음,없음,1000,0,592171,높음,100.00%,0.00%,5.00%,1109903,5364,2160,178,16.67%,0.00%,80.00%,3.33%,1,1,1
X,삼성통돌이세탁기,디지털/가전>생활가전,O,O,1.22,12080,10684,-11.56%,36325,27226,-25.05%,118954,8,12041,없음,없음,14702,245,547071,높음,100.00%,0.00%,0.00%,516868,43293,7696,1236,40.00%,0.00%,54.29%,5.71%,742,449,371
X,통돌이세탁기16kg,디지털/가전>생활가전,O,O,1.36,2150,2049,-4.70%,7494,5754,-23.22%,33962,8,3314,없음,없음,2931,356,489910,높음,100.00%,0.00%,10.00%,488796,17750,7699,657,37.04%,0.00%,59.26%,3.70%,450,450,450
X,워시콤보,디지털/가전>생활가전,O,O,1.41,7760,9000,15.98%,23494,17918,-23.73%,169748,4,29483,있음,"3,4,5,7,8",10923,103,3375697,높음,100.00%,0.00%,37.50%,3186759,703,245,26,29.63%,0.00%,66.67%,3.70%,1,1,1
X,삼성건조기9kg,디지털/가전>생활가전,O,O,1.46,1560,887,-43.14%,4795,2467,-48.55%,35771,2,4654,없음,없음,2270,20,564028,높음,100.00%,0.00%,20.00%,684483,13928,5836,480,31.03%,0.00%,55.17%,13.79%,0,0,0
X,에어드레서,디지털/가전>생활가전,O,O,1.48,14750,18701,26.79%,43180,62286,44.25%,277761,1,35109,없음,없음,21760,2233,1221059,높음,100.00%,0.00%,25.00%,575007,6716,1828,248,25.93%,11.11%,29.63%,33.33%,90,15,10
X,바디드라이어,디지털/가전>생활가전,X,O,1.50,15780,20000,26.74%,53271,51956,-2.47%,345886,9,39251,없음,없음,23596,13804,223004,높음,100.00%,0.00%,37.50%,239782,3008,517,94,15.63%,31.25%,37.50%,15.63%,0,0,0
X,lg통돌이세탁기19kg,디지털/가전>생활가전,O,O,1.50,2050,1682,-17.95%,5727,3948,-31.06%,30115,9,3242,없음,없음,3084,0,636602,높음,100.00%,0.00%,25.00%,656754,25800,7683,889,34.48%,0.00%,62.07%,3.45%,444,444,444
X,솔리티도어락,디지털/가전>생활가전,X,O,1.52,5770,5580,-3.29%,19727,17902,-9.25%,80446,8,7631,없음,없음,8757,195,134772,높음,100.00%,0.00%,22.50%,97284,33348,6872,1235,81.48%,3.70%,3.70%,11.11%,0,0,0
X,lg통돌이세탁기21kg,디지털/가전>생활가전,O,O,1.52,1290,1172,-9.15%,3771,2474,-34.39%,26419,1,2784,없음,없음,1962,0,861377,높음,100.00%,0.00%,20.00%,863740,10132,2392,375,33.33%,0.00%,62.96%,3.70%,211,211,211
X,무전기무전기스토리,디지털/가전>생활가전,X,O,1.58,1970,0,,5241,0,,259,12,259,있음,12,3115,43,218625,높음,100.00%,0.00%,0.00%,80944,978,261,36,7.41%,3.70%,66.67%,22.22%,84,33,14
X,유토렉스칫솔살균기,디지털/가전>생활가전,O,O,1.67,2010,2290,13.93%,6606,4785,-27.57%,42506,7,5659,없음,없음,3359,75,35561,높음,100.00%,0.00%,72.50%,41294,30026,6645,1112,66.67%,7.41%,22.22%,3.70%,0,0,0
X,게이트맨현관문도어락,디지털/가전>생활가전,O,O,1.70,730,0,,1347,1041,-22.72%,208,12,57,있음,"5,7,9,12",1241,35,212766,높음,100.00%,0.00%,42.50%,171492,16801,6871,622,66.67%,0.00%,18.52%,14.81%,0,0,0
O,국산칫솔살균기,디지털/가전>생활가전,X,O,1.72,1190,1505,26.47%,2531,1294,-48.87%,1680,8,459,있음,8,2052,29,25376,높음,100.00%,0.00%,0.00%,34796,23530,8168,871,25.93%,51.85%,18.52%,3.70%,1,1,1
X,전동치실,디지털/가전>생활가전,X,X,1.76,6490,2163,-66.67%,9241,8239,-10.84%,1815,3,565,있음,3,11421,5563,131697,높음,57.50%,42.50%,2.50%,56411,44045,17211,1631,25.93%,22.22%,25.93%,25.93%,20,20,3
X,코콤지문도어락,디지털/가전>생활가전,O,O,1.83,200,539,169.50%,806,5821,622.21%,195,3,60,있음,"3,10",365,26,143429,높음,100.00%,0.00%,10.00%,158769,212,52,7,33.33%,3.70%,62.96%,0.00%,0,0,0
X,필립스다리미,디지털/가전>생활가전,O,O,1.96,4510,4219,-6.45%,12770,8916,-30.18%,55555,5,5825,없음,없음,8822,1918,105388,높음,100.00%,0.00%,52.50%,89829,41517,9451,1537,74.07%,3.70%,14.81%,7.41%,0,0,0
X,일체형세탁건조기,디지털/가전>생활가전,X,O,2.03,3590,5368,49.53%,11024,12171,10.40%,89656,3,20702,있음,"2,3",7270,3821,2404567,높음,97.50%,2.50%,7.50%,1350314,12056,2029,446,55.56%,0.00%,22.22%,22.22%,757,616,126
X,iot도어락,디지털/가전>생활가전,X,O,2.04,890,862,-3.15%,3109,3755,20.78%,13131,11,1798,없음,없음,1815,382,263716,높음,100.00%,0.00%,22.50%,169083,4798,1086,133,63.89%,11.11%,25.00%,0.00%,0,0,0
X,lg워시콤보,디지털/가전>생활가전,O,O,2.05,5270,5507,4.50%,17037,11911,-30.09%,124068,4,18604,없음,없음,10817,5,2824944,높음,100.00%,0.00%,35.00%,2880970,323,143,10,12.50%,0.00%,68.75%,18.75%,143,143,24
X,삼성에어드레서,디지털/가전>생활가전,O,O,2.10,6610,7707,16.60%,18205,23541,29.31%,118380,1,15085,없음,없음,13856,5,1051828,높음,100.00%,0.00%,25.00%,1095736,1566,497,58,25.93%,0.00%,59.26%,14.81%,11,11,3
X,올인원세탁기,디지털/가전>생활가전,X,O,2.10,6210,5803,-6.55%,19419,20554,5.84%,54153,3,7361,없음,없음,13023,3806,2774148,높음,100.00%,0.00%,30.00%,1493168,4354,616,161,51.85%,0.00%,29.63%,18.52%,143,143,29
X,lg워시타워,디지털/가전>생활가전,O,O,2.11,11750,12450,5.96%,39172,38265,-2.32%,186441,1,19715,없음,없음,24812,67,2679356,높음,100.00%,0.00%,62.50%,2502749,11009,2037,305,63.89%,0.00%,27.78%,8.33%,80,46,27
X,통돌이세탁기,디지털/가전>생활가전,O,O,2.14,63230,58885,-6.87%,202615,158690,-21.68%,719468,8,70999,없음,없음,135596,30123,588327,높음,100.00%,0.00%,42.50%,424491,32470,7703,1202,48.15%,0.00%,37.04%,14.81%,0,0,0
X,건조기9kg,디지털/가전>생활가전,X,O,2.14,2540,2900,14.17%,7208,6803,-5.62%,42295,7,4550,없음,없음,5429,1251,589083,높음,100.00%,0.00%,17.50%,583291,14872,5836,512,27.59%,3.45%,55.17%,13.79%,0,0,0
X,lg스타일러,디지털/가전>생활가전,O,O,2.19,13110,16406,25.14%,37104,54472,46.81%,248288,2,32005,없음,없음,28746,292,1096301,높음,100.00%,0.00%,57.50%,971030,1430,497,51,35.71%,0.00%,42.86%,21.43%,45,15,8
X,미니건조기5kg,디지털/가전>생활가전,X,O,2.28,3280,3735,13.87%,8497,8297,-2.35%,54138,7,7114,없음,없음,7485,4888,327598,높음,90.00%,10.00%,12.50%,366264,11873,3987,439,33.33%,29.63%,11.11%,25.93%,10,10,1
X,드럼세탁기15kg,디지털/가전>생활가전,X,O,2.34,3100,2944,-5.03%,10843,9167,-15.46%,45226,8,4559,없음,없음,7268,764,2750392,높음,100.00%,0.00%,52.50%,684681,24755,6457,853,27.59%,0.00%,58.62%,13.79%,0,0,0
X,스타일러,디지털/가전>생활가전,O,O,2.41,63220,77660,22.84%,177456,256853,44.74%,1153249,1,139430,없음,없음,152607,57501,1101725,높음,100.00%,0.00%,62.50%,753028,2264,497,83,40.74%,7.41%,14.81%,37.04%,447,331,45
X,오랄비전동칫솔,디지털/가전>생활가전,O,O,2.42,10520,11129,5.79%,33820,34414,1.76%,181053,1,18758,없음,없음,25469,13706,94361,높음,97.50%,2.50%,30.00%,48538,32619,4026,1208,55.56%,3.70%,3.70%,37.04%,12,4,1
X,필립스전동칫솔,디지털/가전>생활가전,O,O,2.53,7930,7936,0.08%,25913,21969,-15.22%,134328,1,13492,없음,없음,20070,11478,119959,높음,97.50%,2.50%,55.00%,119511,40418,8195,1496,85.19%,0.00%,0.00%,14.81%,0,0,0
X,lg통돌이세탁기,디지털/가전>생활가전,O,O,2.75,13710,12301,-10.28%,44436,36779,-17.23%,146688,8,13985,없음,없음,37737,2169,594416,높음,100.00%,0.00%,57.50%,479161,34735,7696,1335,38.46%,0.00%,38.46%,23.08%,741,449,124
O,통돌이세탁기6kg,디지털/가전>생활가전,O,O,2.78,880,827,-6.02%,1174,837,-28.71%,1099,8,169,없음,없음,2443,1282,206991,높음,92.50%,7.50%,0.00%,259660,17346,5396,642,44.44%,0.00%,37.04%,18.52%,0,0,0
X,무타공도어락,디지털/가전>생활가전,X,O,2.79,13410,23367,74.25%,40583,72388,78.37%,108851,11,16365,없음,없음,37455,8253,99757,높음,100.00%,0.00%,5.00%,89049,33290,6872,1232,77.78%,3.70%,18.52%,0.00%,0,0,0
X,칫솔살균기,디지털/가전>생활가전,X,O,2.86,41760,48527,16.20%,142575,148219,3.96%,738716,3,73921,없음,없음,119600,34151,30882,높음,100.00%,0.00%,52.50%,27744,57025,19744,2112,18.52%,62.96%,11.11%,7.41%,0,0,0
X,삼성원바디,디지털/가전>생활가전,O,O,2.93,1340,1493,11.42%,4685,4379,-6.53%,13672,1,2199,없음,없음,3920,0,2616317,중간,100.00%,0.00%,22.50%,2370158,7741,2038,221,45.71%,0.00%,54.29%,0.00%,0,0,0
X,중고세탁기,디지털/가전>생활가전,X,O,3.02,5450,5429,-0.39%,17895,15706,-12.23%,80518,8,7434,없음,없음,16446,5371,206204,높음,100.00%,0.00%,0.00%,240104,3425,1441,126,18.52%,14.81%,62.96%,3.70%,0,0,0
X,통돌이세탁기10kg,디지털/가전>생활가전,O,O,3.05,2520,2404,-4.60%,7822,6592,-15.72%,32217,8,3145,없음,없음,7675,3493,323473,높음,100.00%,0.00%,5.00%,312855,42619,8637,1183,8.33%,0.00%,66.67%,25.00%,3,2,0
X,얼굴인식도어락,디지털/가전>생활가전,X,O,3.10,1970,2163,9.80%,7890,9329,18.24%,20400,2,2481,없음,없음,6104,3544,319683,높음,97.50%,2.50%,20.00%,277339,1702,584,63,29.63%,0.00%,51.85%,18.52%,0,0,0
X,오랄비전동칫솔모,디지털/가전>생활가전,O,O,3.13,3660,3499,-4.40%,12199,11954,-2.01%,62353,4,7361,없음,없음,11460,4683,19327,높음,100.00%,0.00%,7.50%,28469,23945,9046,886,59.26%,14.81%,18.52%,7.41%,0,0,0
O,삼성건조기21kg,디지털/가전>생활가전,O,O,3.20,780,634,-18.72%,1863,949,-49.06%,6372,3,1375,있음,"1,2,3",2498,2,750578,높음,100.00%,0.00%,2.50%,1652017,12223,5834,452,33.33%,0.00%,66.67%,0.00%,0,0,0
X,스타일러5벌,디지털/가전>생활가전,O,O,3.27,2350,3751,59.62%,6729,12631,87.71%,34573,2,4958,없음,없음,7681,39,1306191,높음,97.50%,2.50%,45.00%,1599943,5086,3635,158,31.25%,0.00%,62.50%,6.25%,0,0,0
